State,Company,City,Number of Workers,Received Date,Effective Date,Layoff/Closure,Temporary/Permanent,Union,Region,County,Industry,Notes
California,Silvergate Bank,4250 Executive Square Suite 300 La Jolla CA 92037,181,01/10/2023,01/13/2023,Layoff Permanent,,,,San Diego County,,
California,Heritage on the Marina,3400 Laguna Street San Francisco CA 94123,17,01/10/2023,03/10/2023,Layoff Permanent,,,,San Francisco County,,
California,"Stitch Fix, Inc.","1 Montgomery Tower, Floor 1100 San Francisco CA 94104",97,01/10/2023,03/06/2023,Layoff Permanent,,,,San Francisco County,,
California,Carbon Health,"300 California Street, 7th Floor San Francisco CA 94104",226,01/10/2023,03/07/2023,Layoff Permanent,,,,San Francisco County,,
California,Pacific Supermarket,2900 Alemany Blvd. San Francisco CA 94112,59,01/10/2023,03/10/2023,Closure Permanent,,,,San Francisco County,,
California,Herren Enterprises Inc. dba Doctors Ambulance Service,2316 South Susan Street Santa Ana CA 92704,59,01/10/2023,03/14/2023,Closure Permanent,,,,Orange County,,
California,"Janssen Pharmaceuticals, Inc.",700 Eubanks Drive Vacaville CA 95688,1,01/10/2023,03/10/2023,Layoff Permanent,,,,Solano County,,
California,Land O'Lakes Inc.,1535 Rancho Conejo Blvd. Newbury Park CA 91320,5,01/10/2023,03/07/2023,Closure Permanent,,,,Ventura County,,
California,Macys,4005 Crenshaw Blvd Los Angeles CA 90008,92,01/06/2023,03/18/2023,Closure Permanent,,,,Los Angeles County,,
California,Loews Hotels & Co,1700 Ocean Avenue Santa Monica CA 90401,321,01/06/2023,03/04/2023,Closure Temporary,,,,Los Angeles County,,
California,"Salesforce, Inc.",415 Mission Street San Francisco CA 94105,650,01/06/2023,03/24/2023,Layoff Permanent,,,,San Francisco County,,
California,"Salesforce, Inc.",350 Mission Street San Francisco CA 94105,1,01/06/2023,03/24/2023,Layoff Permanent,,,,San Francisco County,,
California,"Salesforce, Inc.",50 Fremont Street San Francisco CA 94105,52,01/06/2023,03/24/2023,Layoff Permanent,,,,San Francisco County,,
California,"Salesforce, Inc.",500 Howard Street San Francisco CA 94105,49,01/06/2023,03/24/2023,Layoff Permanent,,,,San Francisco County,,
California,"Cisco Systems, Inc.",560 McCarthy Blvd. Milpitas CA 95035,222,01/04/2023,03/13/2023,Layoff Permanent,,,,Santa Clara County,,
California,"Cisco Systems, Inc.",500 Terry A. Francois Blvd San Francisco CA 94158,80,01/04/2023,03/13/2023,Layoff Permanent,,,,San Francisco County,,
California,"Cisco Systems, Inc.",170 West Tasman Drive San Jose CA 95134,371,01/04/2023,03/13/2023,Layoff Permanent,,,,Santa Clara County,,
California,ICAN-B,16130 Sherman Way Van Nuys CA 91406,3,01/03/2023,01/15/2023,Closure Permanent,,,,Los Angeles County,,
California,"Arana Therapeutics, Inc., a company within Teva Pharmaceuticals USA, Inc.",610 Galveston Drive Redwood City CA 94063,30,01/03/2023,02/03/2023,Closure Permanent,,,,San Mateo County,,
California,"PHC Facilities, Inc.",1555 Newton Street Los Angeles CA 90021,68,12/29/2022,02/26/2023,Closure Permanent,,,,Los Angeles County,,
California,"Argo AI, LLC",1450 Page Mill Rd. Palo Alto CA 94304,257,12/29/2022,11/01/2022,Closure Permanent,,,,Santa Clara County,,
California,Teleflex LLC and NeoTract Inc,4155 Hopyard Road Pleasanton CA 94588,73,12/28/2022,03/31/2023,Closure Permanent,,,,Alameda County,,
California,Teleflex LLC and NeoTract Inc,1963 Rutan Dr. Livermore CA 94551,5,12/28/2022,03/31/2023,Closure Permanent,,,,Alameda County,,
California,GlobalFoundries US Inc.,2600 Great America Way Santa Clara Gateway Santa Clara CA 95054,50,12/27/2022,03/17/2023,Layoff Permanent,,,,Santa Clara County,,
California,Schneider Electric,"200 W. Pontiac Way, Bldg 5 Clovis CA 93612",2,12/23/2022,03/03/2023,Closure Permanent,,,,Fresno County,,
California,Epitomics Inc. dba Abeam Milpitas,155 S Milpitas Blvd Milpitas CA 95035,30,12/23/2022,03/10/2023,Closure Permanent,,,,Santa Clara County,,
California,"Ghost Management Group, LLC",41 Discovery Irvine CA 92618,51,12/23/2022,01/20/2023,Layoff Permanent,,,,Orange County,,
California,Reverse Mortgage Funding LLC,"2355 Gold Meadow Way, Ste. 150 Rancho Cordova CA 95670",2,12/23/2022,03/10/2023,Layoff Permanent,,,,Sacramento County,,
California,Company 3/Method Inc.,3401 Exposition Blvd. Santa Monica CA 90404,54,12/22/2022,02/12/2023,Layoff Permanent,,,,Los Angeles County,,
California,JC Ford,901 S. Leslie Street La Habra CA 90631,39,12/22/2022,02/15/2023,Layoff Permanent,,,,Orange County,,
California,JC Ford,901 S. Leslie Street La Habra CA 90631,9,12/22/2022,03/15/2023,Layoff Permanent,,,,Orange County,,
California,JC Ford,901 S. Leslie Street La Habra CA 90631,30,12/22/2022,03/31/2023,Layoff Permanent,,,,Orange County,,
California,"TuSimple, Inc.",9191 Towne Centre Drive San Diego CA 92122,143,12/22/2022,02/18/2023,Layoff Permanent,,,,San Diego County,,
California,"Roku, Inc.",1155 Coleman Avenue San Jose CA 95110,93,12/22/2022,12/16/2022,Layoff Permanent,,,,Santa Clara County,,
California,"Principal Lighting Group LLC dba Sloan LED, Inc.",5725 Olivas Park Drive Ventura CA 93003,35,12/22/2022,02/20/2023,Layoff Permanent,,,,Ventura County,,
California,Principal Lighting Group LLC dba Sloan LED Inc.,"6050 King Drive, Suite B Ventura CA 93003",7,12/22/2022,02/20/2023,Layoff Permanent,,,,Ventura County,,
California,Crothall Healthcare,2823 Fresno ST Fresno CA 93721,57,12/21/2022,01/31/2023,Layoff Permanent,,,,Fresno County,,
California,Crothall Healthcare,2755 Herndon Ave Clovis CA 93611,15,12/21/2022,01/31/2023,Layoff Permanent,,,,Fresno County,,
