State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
Texas,Kindred Hospital-Tomball,Tomball,147,1/8/2020,3/8/2020,,,,Gulf Coast WDA,Harris,,
Texas,Triumph Hospital - The Heights,Houston,138,1/8/2020,3/8/2020,,,,Gulf Coast WDA,Harris,,
Texas,Apache Corp-San Antonio,San Antonio,272,1/6/2020,3/6/2020,,,,Alamo WDA,Bexar,,
Texas,"Valerus Field Solutions, LP",Sealy,250,1/6/2020,3/7/2020,,,,Gulf Coast WDA,Austin,,
Texas,"Fleetwood Transportation Services, Inc.& Fleetwood Logistics",Burke,49,1/3/2020,12/31/2019,,,,Deep East Texas WDA,Angelina,,
Texas,Ambit Energy - Call Center & Sales Support Office,Plano,50,12/30/2019,2/14/2020,,,,North Central Texas WDA,Collin,,
Texas,"NortonLifeLock, Inc.",Plano,8,12/23/2019,2/13/2020,,,,North Central Texas WDA,Collin,,
Texas,"Event Solutions International, Inc. dba Motus One (ESI)",Carrollton,18,12/20/2019,12/20/2019,,,,None,Dallas,,
Texas,Car2go,Austin,47,12/19/2019,3/6/2020,,,,Capital Area WDA,Travis,,
Texas,Yauatcha Houston,Houston,80,12/18/2019,2/16/2020,,,,Gulf Coast WDA,Harris,,
Texas,Stewart and Stevenson,Houston,55,12/13/2019,2/12/2020,,,,Gulf Coast WDA,Harris,,
Texas,Pumpco Energy Services-Cleburne,Cleburne,5,12/10/2019,12/31/2019,,,,North Central Texas WDA,Johnson,,
Texas,New LifeCare Management Services dba LifeCare Health Partners,Plano,9,11/26/2019,11/26/2019,,,,North Central Texas WDA,Collin,,
Texas,National Oilwell Varco -Galena Park,Galena Park,85,11/22/2019,11/22/2019,,,,Gulf Coast WDA,Harris,,
Texas,Pumpco Energy Services-Odessa,Odessa,112,11/22/2019,11/25/2019,,,,Permian Basin WDA,Ector,,
Texas,Nuvectra Corporation,Plano,14,11/20/2019,1/19/2020,,,,North Central Texas WDA,Collin,,
Texas,"NortonLifeLock, Inc.",Plano,34,11/19/2019,1/17/2020,,,,North Central Texas WDA,Collin,,
Texas,"TimkenSteel Material Services, LLC",Houston,94,11/19/2019,1/18/2020,,,,Gulf Coast WDA,Harris,,
Texas,"Range Production Company, LLC.",Houston,57,11/14/2019,11/12/2019,,,,Gulf Coast WDA,Harris,,
Texas,"Convergent Outsourcing, Inc.",San Antonio,40,11/7/2019,9/17/2019,,,,Alamo WDA,Bexar,,
Texas,Nix Hospital-Nix Behavioral Health Center,San Antonio,972,11/6/2019,1/4/2020,,,,Alamo WDA,Bexar,,
Texas,Geo Secure Services LLC,San Antonio,158,11/6/2019,1/6/2020,,,,Alamo WDA,Bexar,,
Texas,Oakwood Worldwide,Carrollton,1,10/29/2019,12/30/2019,,,,Dallas County WDA,Dallas,,
Texas,Samsung Austin Semiconductors LLC-Central Processing Unit,Austin,290,10/29/2019,12/31/2019,,,,Alamo WDA,Travis,,
Texas,Harte-Hanks,Austin,146,10/23/2019,12/22/2019,,,,Capital Area WDA,Travis,,
Texas,Cudd Energy Services,San Antonio,117,10/23/2019,12/22/2019,,,,Alamo WDA,Bexar,,
